action,timestamp
Trainer added: trainerdetest,2025-05-27 13:44:50
Trainer trainerdetest updated their price to 100.0 RON,2025-05-27 13:45:23
Member testmember booked session with trainer trainerdetest on 2025-05-27 at 22:00,2025-05-27 13:46:10
Trainer trainerdetest added class: zumba zumba zumba on 2025-06-23 at 14:00,2025-05-27 13:46:41
Member deleted account: trainerdetest,2025-05-27 13:47:06
Trainer added: trainerpentrutest,2025-05-27 13:52:59
Member testmember booked session with trainer trainerpentrutest on 2025-05-27 at 14:00,2025-05-27 13:53:49
Trainer deleted account: trainerpentrutest,2025-05-27 14:16:13
Member registered: andramember,2025-06-02 10:34:17
Trainer added: alextrainer,2025-06-02 10:36:26
Added promotion: Zumba 15 for june (15.0%),2025-06-02 10:39:44
Edited promotion: Zumba 15 for june,2025-06-02 10:42:33
Edited promotion: Zumba 15 for june,2025-06-02 10:42:42
Edited promotion: Zumba 15 for june,2025-06-02 10:42:51
Edited promotion: Zumba 15 for june,2025-06-02 10:42:53
Deactivated promotion: Zumba 15 for june,2025-06-02 10:44:14
Reactivated promotion: Zumba 15 for june (2025-06-03 → 2025-06-15),2025-06-02 10:45:13
Removed promotion: Zumba 15 for june,2025-06-02 10:46:00
Trainer alextrainer updated their price to 87.0 RON,2025-06-02 10:57:39
Trainer alextrainer added class: Tenis in introduction on 2025-06-10 at 12:00,2025-06-02 10:58:57
Trainer alextrainer added class: test class to book and delete on 2025-06-09 at 14:00,2025-06-02 11:01:31
Assigned trainer Test AlexTrainer to member andramember,2025-06-02 11:02:44
Trainer alextrainer deleted class: test class to book and delete,2025-06-02 11:03:54
Member andramember booked session with trainer alextrainer on 2025-06-06 at 19:00,2025-06-02 11:06:58
Member andramember rated trainer alextrainer with 5 stars,2025-06-02 11:15:06
Removed trainer Test AlexTrainer from member andramember,2025-06-02 11:17:15
Member andramember booked session with trainer testtrainer on 2025-06-07 at 16:00,2025-06-02 11:18:06
Removed trainer Test Trainer from member andramember,2025-06-02 11:25:04
Member andramember booked session with trainer alextrainer on 2025-06-06 at 10:00,2025-06-02 11:25:46
Member testmember booked session with trainer alextrainer on 2025-06-05 at 18:00,2025-06-02 11:33:10
Member testmember booked session with trainer astrong on 2025-06-02 at 21:00,2025-06-02 11:43:17
Trainer alextrainer added class: de sters on 2025-06-11 at 12:00,2025-06-02 15:46:33
Trainer alextrainer deleted class: de sters,2025-06-02 15:47:44
Trainer deleted account: alextrainer,2025-06-02 15:48:38
Trainer added: andratrainer,2025-06-02 15:52:35
